timestamp,sample
599588,38
599596,35
599604,35
599612,36
599620,25
599628,17
599636,6
599644,0
599652,-3
599660,-13
599668,-25
599676,-33
599684,-37
599692,-36
599700,-40
599708,-44
599716,-53
599724,-62
599732,-67
599740,-63
599748,-56
599756,-54
599764,-60
599772,-60
599780,-61
599788,-64
599796,-77
599804,-84
599812,-91
599820,-96
599828,-100
599836,-101
599844,-107
599852,-115
599860,-113
599868,-96
599876,-81
599884,-81
599892,-88
599900,-88
599908,-84
599916,-79
599924,-76
599932,-61
599940,-52
599948,-53
599956,-71
599964,-98
599972,-124
599980,-137
599988,-149
599996,-139
600004,-81
600012,-39
600020,-122
600028,-277
600036,-106
600044,610
600052,1305
600060,1147
600068,127
600076,-882
600084,-1154
600092,-850
600100,-537
600108,-420
600116,-346
600124,-246
600132,-189
600140,-169
600148,-149
600156,-133
600164,-106
600172,-83
600180,-75
600188,-72
600196,-65
600204,-54
600212,-40
600220,-28
600228,-10
600236,15
600244,32
600252,48
600260,56
600268,65
600276,78
600284,91
600292,113
600300,127
600308,130
600316,119
600324,100
600332,78
600340,50
600348,7
600356,-37
600364,-69
600372,-78
600380,-87
600388,-83
600396,-68
600404,-51
600412,-44
600420,-47
600428,-38
600436,-7
600444,22
600452,31
600460,26
600468,29
600476,25
600484,17
600492,7
600500,0
600508,-5
600516,-5
600524,-7
600532,-12
600540,-11
600548,-12
600556,-6
600564,0
600572,3
600580,11
600588,18
600596,17
600604,11
600612,4
600620,2
600628,3
600636,1
600644,-3
600652,-3
600660,0
600668,-2
600676,-8
600684,-19
600692,-27
600700,-35
600708,-35
600716,-37
600724,-43
600732,-50
600740,-62
600748,-68
600756,-72
600764,-74
600772,-72
600780,-80
600788,-93
600796,-102
600804,-103
600812,-92
600820,-81
600828,-76
600836,-86
600844,-104
600852,-109
600860,-119
600868,-114
600876,-80
600884,-71
600892,-174
600900,-296
600908,-31
600916,756
600924,1387
600932,1098
600940,8
600948,-950
600956,-1145
600964,-821
600972,-532
600980,-437
600988,-362
600996,-267
601004,-210
601012,-177
601020,-155
601028,-144
601036,-130
601044,-107
601052,-76
601060,-46
601068,-29
601076,-35
601084,-54
601092,-70
601100,-71
601108,-73
601116,-74
601124,-74
601132,-73
601140,-73
601148,-73
601156,-72
601164,-65
601172,-60
601180,-64
601188,-71
601196,-80
601204,-102
601212,-133
601220,-181
601228,-219
601236,-238
601244,-234
601252,-220
601260,-202
601268,-186
601276,-171
601284,-159
601292,-146
601300,-136
601308,-124
601316,-116
601324,-116
601332,-114
601340,-115
601348,-115
601356,-116
601364,-120
601372,-127
601380,-132
601388,-137
601396,-133
601404,-130
601412,-128
601420,-132
601428,-132
601436,-130
601444,-127
601452,-122
601460,-119
601468,-120
601476,-124
601484,-127
601492,-128
601500,-131
601508,-133
601516,-131
601524,-124
601532,-115
601540,-111
601548,-109
601556,-106
601564,-103
601572,-106
601580,-117
601588,-125
601596,-126
601604,-118
601612,-111
601620,-108
601628,-106
601636,-102
601644,-96
601652,-92
601660,-95
601668,-99
601676,-99
601684,-94
601692,-89
601700,-91
601708,-94
601716,-82
601724,-62
601732,-42
601740,-32
601748,-47
601756,-61
601764,-61
601772,-60
601780,-42
601788,0
601796,6
601804,-117
601812,-219
601820,140
601828,993
601836,1569
601844,1135
601852,-21
601860,-902
601868,-970
601876,-606
601884,-346
601892,-272
601900,-189
601908,-102
601916,-50
601924,-16
601932,15
601940,31
601948,44
601956,51
601964,60
601972,64
601980,66
601988,68
601996,61
602004,54
602012,52
602020,57
602028,60
602036,62
602044,64
602052,75
602060,78
602068,77
602076,76
602084,75
602092,73
602100,67
602108,56
602116,33
602124,0
602132,-40
602140,-80
602148,-105
602156,-111
602164,-103
602172,-78
602180,-61
602188,-50
602196,-39
602204,-26
602212,-14
602220,1
602228,12
602236,17
602244,17
602252,16
602260,16
602268,18
602276,14
602284,4
602292,-2
602300,-7
602308,-11
602316,-17
602324,-23
602332,-24
602340,-21
602348,-18
602356,-19
602364,-22
602372,-30
602380,-34
602388,-35
602396,-33
602404,-33
602412,-33
602420,-34
602428,-35
602436,-36
602444,-40
602452,-41
602460,-42
602468,-47
602476,-49
602484,-46
602492,-45
602500,-47
602508,-50
602516,-53
602524,-47
602532,-41
602540,-39
602548,-41
602556,-41
602564,-46
602572,-48
602580,-48
602588,-42
602596,-38
602604,-38
602612,-45
602620,-50
602628,-48
602636,-46
602644,-42
602652,-44
602660,-51
602668,-57
602676,-60
602684,-61
602692,-49
602700,-33
602708,-24
602716,-35
602724,-55
602732,-64
602740,-76
602748,-69
602756,-31
602764,-18
602772,-112
602780,-231
602788,20
602796,818
602804,1518
602812,1291
602820,172
602828,-891
602836,-1169
602844,-846
602852,-515
602860,-402
602868,-337
602876,-236
602884,-173
602892,-141
602900,-124
602908,-113
602916,-96
602924,-73
602932,-54
602940,-31
602948,-21
602956,-22
602964,-33
602972,-47
602980,-46
602988,-40
602996,-32
603004,-27
603012,-25
603020,-23
603028,-13
603036,2
603044,15
603052,24
603060,24
603068,19
603076,1
603084,-33
603092,-81
603100,-129
603108,-162
603116,-180
603124,-182
603132,-173
603140,-155
603148,-136
603156,-127
603164,-123
603172,-115
603180,-99
603188,-82
603196,-71
603204,-65
603212,-58
603220,-53
603228,-48
603236,-44
603244,-43
603252,-42
603260,-49
603268,-52
603276,-57
603284,-60
603292,-68
603300,-74
603308,-74
603316,-71
603324,-70
603332,-72
603340,-71
603348,-69
603356,-66
603364,-60
603372,-55
603380,-55
603388,-59
603396,-64
603404,-62
603412,-62
603420,-64
603428,-69
603436,-70
603444,-66
603452,-62
603460,-60
603468,-59
603476,-65
603484,-71
603492,-73
603500,-65
603508,-57
603516,-56
603524,-62
603532,-67
603540,-68
603548,-61
603556,-57
603564,-59
603572,-65
603580,-67
603588,-68
603596,-68
603604,-69
603612,-73
603620,-74
603628,-69
603636,-66
603644,-68
603652,-70
603660,-74
603668,-74
603676,-63
603684,-52
603692,-37
603700,-33
603708,-53
603716,-80
603724,-98
603732,-101
603740,-89
603748,-48
603756,-32
603764,-123
603772,-257
603780,-55
603788,702
603796,1448
603804,1313
603812,260
603820,-827
603828,-1162
603836,-879
603844,-550
603852,-431
603860,-368
603868,-263
603876,-202
603884,-175
603892,-154
603900,-138
603908,-121
603916,-100
603924,-83
603932,-63
603940,-50
603948,-41
603956,-45
603964,-52
603972,-54
603980,-52
603988,-49
603996,-46
604004,-43
604012,-36
604020,-31
604028,-29
604036,-31
604044,-33
604052,-33
604060,-34
604068,-36
604076,-59
604084,-99
604092,-148
604100,-193
604108,-217
604116,-224
604124,-217
604132,-200
604140,-187
604148,-179
604156,-173
604164,-165
604172,-152
604180,-140
604188,-131
604196,-121
604204,-106
604212,-87
604220,-82
604228,-88
604236,-95
604244,-97
604252,-99
604260,-109
604268,-113
604276,-115
604284,-117
604292,-120
604300,-120
604308,-114
604316,-110
604324,-110
604332,-107
604340,-102
604348,-97
604356,-94
604364,-98
604372,-106
604380,-115
604388,-111
604396,-101
604404,-99
604412,-105
604420,-110
604428,-111
604436,-106
604444,-100
604452,-102
604460,-104
604468,-101
604476,-94
604484,-92
604492,-95
604500,-99
604508,-94
604516,-87
604524,-85
604532,-89
604540,-94
604548,-91
604556,-84
604564,-79
604572,-76
604580,-77
604588,-77
604596,-73
604604,-70
604612,-68
604620,-65
604628,-50
604636,-34
604644,-24
604652,-22
604660,-28
604668,-39
604676,-45
604684,-50
604692,-51
604700,-21
604708,20
604716,-26
604724,-181
604732,-129
604740,513
604748,1373
604756,1533
604764,653
604772,-525
604780,-1058
604788,-856
604796,-488
604804,-325
604812,-265
604820,-167
604828,-102
604836,-66
604844,-36
604852,-15
604860,3
604868,17
604876,27
604884,36
604892,46
604900,48
604908,47
604916,40
604924,39
604932,42
604940,49
604948,63
604956,73
604964,78
604972,77
604980,79
604988,77
604996,72
605004,61
605012,57
605020,48
605028,27
605036,-21
605044,-77
605052,-121
605060,-140
605068,-142
605076,-133
605084,-121
605092,-103
605100,-81
605108,-60
605116,-51
