timestamp,sample
868772,-31
868780,-15
868788,-34
868796,-91
868804,-149
868812,-175
868820,-157
868828,-128
868836,-120
868844,-97
868852,-61
868860,-16
868868,7
868876,4
868884,7
868892,9
868900,8
868908,3
868916,-15
868924,-37
868932,-69
868940,-84
868948,-69
868956,-53
868964,-48
868972,-69
868980,-72
868988,-40
868996,-3
869004,30
869012,31
869020,27
869028,26
869036,47
869044,115
869052,237
869060,384
869068,462
869076,471
869084,494
869092,512
869100,478
869108,394
869116,362
869124,451
869132,466
869140,373
869148,277
869156,78
869164,-291
869172,-394
869180,331
869188,1447
869196,1620
869204,360
869212,-1097
869220,-1349
869228,-711
869236,-331
869244,-451
869252,-506
869260,-137
869268,223
869276,77
869284,-334
869292,-500
869300,-273
869308,27
869316,74
869324,-100
869332,-197
869340,-84
869348,40
869356,56
869364,57
869372,92
869380,119
869388,113
869396,118
869404,152
869412,181
869420,206
869428,233
869436,257
869444,263
869452,213
869460,148
869468,132
869476,193
869484,306
869492,376
869500,354
869508,283
869516,233
869524,232
869532,246
869540,250
869548,241
869556,215
869564,189
869572,164
869580,152
869588,82
869596,-154
869604,-541
869612,-961
869620,-1248
869628,-1338
869636,-1290
869644,-1177
869652,-1043
869660,-932
869668,-863
869676,-819
869684,-743
869692,-635
869700,-512
869708,-414
869716,-377
869724,-387
869732,-396
869740,-350
869748,-254
869756,-188
869764,-244
869772,-369
869780,-162
869788,596
869796,1344
869804,1278
869812,322
869820,-692
869828,-982
869836,-661
869844,-311
869852,-178
869860,-94
869868,-3
869876,30
869884,32
869892,17
869900,-6
869908,-43
869916,-90
869924,-116
869932,-133
869940,-149
869948,-155
869956,-153
869964,-124
869972,-66
869980,18
869988,75
869996,61
870004,10
870012,-40
870020,-81
870028,-107
870036,-105
870044,-70
870052,-59
870060,-72
870068,-99
870076,-126
870084,-142
870092,-137
870100,-98
870108,-55
870116,-63
870124,-87
870132,-100
870140,-95
870148,-97
870156,-95
870164,-57
870172,-26
870180,-22
870188,-54
870196,-117
870204,-171
870212,-190
870220,-160
870228,-73
870236,-1
870244,0
870252,-86
870260,-167
870268,-173
870276,-109
870284,-48
870292,-45
870300,-70
870308,-89
870316,-94
870324,-80
870332,-68
870340,-56
870348,-32
870356,14
870364,13
870372,-136
870380,-256
870388,129
870396,1014
870404,1560
870412,1041
870420,-169
870428,-1024
870436,-1035
870444,-631
870452,-370
870460,-302
870468,-239
870476,-174
870484,-142
870492,-114
870500,-108
870508,-106
870516,-74
870524,-38
870532,-37
870540,-34
870548,-1
870556,33
870564,21
870572,-26
870580,-53
870588,-18
870596,37
870604,73
870612,73
870620,31
870628,-28
870636,-50
870644,-30
870652,-22
870660,-36
870668,-72
870676,-111
870684,-125
870692,-113
870700,-109
870708,-133
870716,-152
870724,-102
870732,-5
870740,62
870748,41
870756,-25
870764,-68
870772,-80
870780,-70
870788,-51
870796,-38
870804,-14
870812,7
870820,11
870828,-20
870836,-62
870844,-69
870852,-70
870860,-72
870868,-66
870876,-28
870884,32
870892,40
870900,-13
870908,-56
870916,-50
870924,-33
870932,-29
870940,-16
870948,-31
870956,-147
870964,-155
870972,352
870980,1227
870988,1591
870996,868
871004,-394
871012,-1161
871020,-1077
871028,-650
871036,-408
871044,-323
871052,-236
871060,-165
871068,-123
871076,-71
871084,-35
871092,-53
871100,-100
871108,-118
871116,-89
871124,-33
871132,-1
871140,9
871148,23
871156,30
871164,39
871172,30
871180,0
871188,-30
871196,-24
871204,5
871212,2
871220,-25
871228,-32
871236,-26
871244,-51
871252,-122
871260,-187
871268,-185
871276,-130
871284,-63
871292,-52
871300,-79
871308,-108
871316,-105
871324,-86
871332,-83
871340,-71
871348,-19
871356,29
871364,5
871372,-74
871380,-107
871388,-43
871396,17
871404,0
871412,-75
871420,-103
871428,-68
871436,-29
871444,-26
871452,-65
871460,-104
871468,-102
871476,-67
871484,-29
871492,-15
871500,-11
871508,-14
871516,-27
871524,-42
871532,-76
871540,-99
871548,-73
871556,-20
871564,-36
871572,-189
871580,-148
871588,495
871596,1388
871604,1565
871612,640
871620,-613
871628,-1201
871636,-1023
871644,-650
871652,-474
871660,-370
871668,-243
871676,-180
871684,-152
871692,-95
871700,-29
871708,-5
871716,-30
871724,-50
871732,-60
871740,-66
871748,-60
871756,-19
871764,49
871772,82
871780,60
871788,38
871796,54
871804,103
871812,127
871820,113
871828,99
871836,92
871844,88
871852,52
871860,-11
871868,-78
871876,-149
871884,-202
871892,-225
871900,-209
871908,-181
871916,-163
871924,-160
871932,-170
871940,-165
871948,-135
871956,-86
871964,-66
871972,-102
871980,-132
871988,-106
871996,-61
872004,-36
872012,-44
872020,-47
872028,-46
872036,-64
872044,-102
872052,-128
872060,-113
872068,-79
872076,-59
872084,-33
872092,-1
872100,37
872108,61
872116,56
872124,32
872132,-4
872140,-40
872148,-59
872156,-47
872164,-11
872172,2
872180,-16
872188,-44
872196,-79
872204,-110
872212,-157
872220,-214
872228,-241
872236,-210
872244,-151
872252,-196
872260,-272
872268,24
872276,817
872284,1434
872292,1103
872300,-21
872308,-1008
872316,-1220
872324,-863
872332,-502
872340,-360
872348,-353
872356,-412
872364,-468
872372,-433
872380,-357
872388,-319
872396,-309
872404,-259
872412,-159
872420,-66
872428,-50
872436,-103
872444,-137
872452,-132
872460,-101
872468,-60
872476,-15
872484,46
872492,104
872500,146
872508,151
872516,100
872524,20
872532,-48
872540,-92
872548,-106
872556,-118
872564,-98
872572,-60
872580,-17
872588,21
872596,48
872604,61
872612,53
872620,27
872628,-7
872636,-50
872644,-75
872652,-71
872660,-52
872668,-68
872676,-143
872684,-241
872692,-325
872700,-377
872708,-401
872716,-416
872724,-400
872732,-371
872740,-348
872748,-313
872756,-243
872764,-132
872772,-21
872780,69
872788,111
872796,103
872804,75
872812,35
872820,25
872828,91
872836,233
872844,420
872852,523
872860,485
872868,382
872876,326
872884,328
872892,297
872900,164
872908,-10
872916,-116
872924,-152
872932,-265
872940,-401
872948,-106
872956,707
872964,1269
872972,792
872980,-456
872988,-1406
872996,-1481
873004,-1089
873012,-829
873020,-758
873028,-656
873036,-547
873044,-510
873052,-479
873060,-422
873068,-351
873076,-287
873084,-236
873092,-214
873100,-205
873108,-197
873116,-185
873124,-146
873132,-75
873140,-12
873148,20
873156,48
873164,111
873172,185
873180,246
873188,280
873196,299
873204,289
873212,190
873220,33
873228,-67
873236,-37
873244,85
873252,226
873260,354
873268,444
873276,459
873284,404
873292,297
873300,198
873308,141
873316,112
873324,88
873332,81
873340,90
873348,104
873356,94
873364,77
873372,64
873380,54
873388,26
873396,-54
873404,-149
873412,-208
873420,-221
873428,-208
873436,-187
873444,-184
873452,-232
873460,-304
873468,-329
873476,-254
873484,-127
873492,-97
873500,-170
873508,-227
873516,-234
873524,-207
873532,-142
873540,-63
873548,10
873556,62
873564,67
873572,88
873580,204
873588,318
873596,257
873604,59
873612,152
873620,859
873628,1709
873636,1787
873644,892
873652,-192
873660,-667
873668,-544
873676,-320
873684,-292
873692,-348
873700,-328
873708,-215
873716,-84
873724,-36
873732,-78
873740,-78
873748,27
873756,131
873764,101
873772,-54
873780,-224
873788,-323
873796,-305
873804,-192
873812,-77
873820,-7
873828,33
873836,-8
873844,-184
873852,-402
873860,-430
873868,-158
873876,220
873884,417
873892,378
873900,251
873908,119
873916,-14
873924,-113
873932,-157
873940,-164
873948,-144
873956,-118
873964,-87
873972,-51
873980,-15
873988,23
873996,52
874004,27
874012,-35
874020,-71
874028,-56
874036,-28
874044,-31
874052,-76
874060,-127
874068,-154
874076,-158
874084,-160
874092,-155
874100,-154
874108,-162
874116,-185
874124,-216
874132,-245
874140,-264
874148,-288
874156,-315
874164,-310
874172,-240
874180,-155
874188,-123
874196,-176
874204,-282
874212,-375
874220,-442
874228,-489
874236,-481
874244,-366
874252,-169
874260,-24
874268,-73
874276,-199
874284,51
874292,771
874300,1288
874308,922
874316,-93
874324,-893
874332,-996
874340,-711
874348,-492
874356,-374
874364,-210
874372,-75
874380,64
874388,338
874396,602
874404,622
874412,437
874420,292
874428,328
874436,431
874444,434
874452,343
874460,257
874468,179
874476,108
874484,68
874492,27
874500,-47
874508,-135
874516,-227
874524,-286
874532,-291
874540,-270
874548,-279
874556,-327
874564,-366
874572,-351
874580,-304
874588,-277
874596,-280
874604,-266
874612,-236
874620,-239
874628,-289
874636,-354
874644,-380
874652,-335
874660,-284
874668,-273
874676,-296
874684,-301
874692,-269
874700,-241
874708,-226
874716,-214
874724,-198
874732,-204
874740,-241
874748,-284
874756,-310
874764,-314
874772,-294
874780,-260
874788,-210
874796,-166
874804,-125
874812,-73
874820,-22
874828,-24
874836,-73
874844,-127
874852,-166
874860,-179
874868,-123
874876,-8
874884,109
874892,167
874900,183
874908,240
874916,295
874924,203
874932,-83
874940,-276
874948,95
874956,924
874964,1346
874972,738
874980,-446
874988,-1178
874996,-1077
875004,-631
875012,-380
875020,-326
875028,-244
875036,-142
875044,-71
875052,19
875060,67
875068,34
875076,34
875084,132
875092,246
875100,234
875108,87
875116,-74
875124,-142
875132,-163
875140,-226
875148,-309
875156,-391
875164,-445
875172,-400
875180,-272
875188,-157
875196,-111
875204,-101
875212,-66
875220,-17
875228,-15
875236,-53
875244,-65
875252,-45
