timestamp,x,y,z,gx,gy,gz
868710,-1.7013576,9.313198,1.8664683,-1.47,5.39,12.88
868729,-1.588891,9.356271,1.8425392,-2.1,10.15,13.16
868748,-1.5434257,9.162445,1.8975761,-3.57,14.0,13.16
868767,-1.5458187,9.368236,1.8880045,-3.5,14.42,14.63
868787,-1.6941789,9.7415285,1.8377534,-3.57,13.79,16.03
868806,-1.4596739,9.767851,1.1653463,-6.79,21.28,16.59
868825,-1.639142,9.681706,1.74443,-9.59,30.73,14.07
868844,-1.9047549,10.035856,2.4575167,-8.89,24.36,11.13
868864,-1.9885067,10.619726,2.7997024,-6.37,13.16,10.01
868883,-1.8353605,10.653227,2.6513422,-6.93,11.76,9.24
868902,-1.8521109,10.023892,2.502982,-2.73,12.6,7.91
868921,-1.4213874,10.24404,2.471874,9.94,12.74,5.95
868941,-0.45225963,10.782444,1.7994668,15.75,11.4800005,5.46
868960,0.071787246,10.949947,1.6104271,17.01,14.07,5.18
868979,0.3278284,10.954733,1.7946811,10.78,14.14,8.05
868998,0.55036885,9.626669,3.2615337,11.76,5.81,10.22
869017,1.457281,8.999727,2.656128,11.13,-2.38,10.92
869036,1.9717562,9.215089,2.1440456,9.17,9.87,14.07
869055,2.0339718,9.090658,1.7635733,3.5,27.44,17.36
869074,2.0722585,9.267733,1.715715,0.42000002,35.35,18.62
869094,2.0244002,8.813081,1.8257889,2.24,36.54,22.33
869113,2.057901,8.856153,1.7348584,4.55,34.65,27.3
869132,1.9765421,9.341913,1.691786,9.03,34.86,32.55
869151,2.0770442,9.119372,2.342657,1.61,33.81,35.7
869170,1.9765421,9.090658,2.0866158,7.63,35.98,37.45
869189,1.8114314,9.279697,1.8640754,11.83,37.8,38.08
869208,1.718108,9.0475855,1.715715,15.33,37.87,37.1
869227,1.8090385,9.121766,1.6558924,7.77,32.2,36.75
869247,1.8377534,8.987762,2.3594074,14.91,31.01,36.26
869266,1.8736471,9.073908,2.187118,18.83,29.75,34.86
869285,2.0244002,9.246197,1.2275618,15.4,29.33,32.48
869304,1.8066456,9.195946,1.4022441,13.16,28.56,30.45
869324,1.8664683,8.978191,1.5147108,13.3,25.41,28.28
869343,1.9813279,9.095444,1.430959,11.2,22.19,25.97
869362,2.0244002,9.121766,1.3376356,9.87,17.5,24.29
869381,2.1679747,9.274912,1.588891,10.08,12.04,22.82
869401,2.2062612,9.408915,1.6822144,9.1,10.36,20.44
869420,2.3761578,9.39695,1.4955676,8.19,12.95,19.32
869439,2.445552,9.239018,1.6008555,6.65,12.81,17.99
869458,2.2612982,9.315591,1.8688612,5.46,7.14,17.08
869477,2.3833365,9.315591,1.6702498,6.37,3.64,15.47
869496,2.4479449,9.289269,1.4046371,4.34,2.66,13.58
869515,2.239762,9.181588,1.6223917,4.55,4.83,11.4800005
869534,2.3618002,9.061943,1.5218896,4.13,5.25,9.03
869554,2.3976939,8.98537,1.6487137,2.59,6.7200003,6.79
869573,2.450338,9.270126,1.5912839,1.05,6.16,5.53
869592,2.471874,9.310805,1.6247846,-2.59,5.32,5.32
869611,2.390515,9.253376,1.639142,-2.8,3.64,4.9
869630,2.2206187,9.188767,1.3878866,-4.41,0.49,4.76
869649,2.0028641,9.435237,1.5051392,-2.94,-0.7,5.53
