timestamp,x,y,z,gx,gy,gz
599603,0.2057901,8.076065,5.4007936,2.66,-4.48,0.35
599622,0.34218585,8.083243,5.417544,0.0,-3.99,0.42000002
599641,0.30629224,8.035385,5.3960075,0.7,-4.2,0.77
599660,0.28475606,7.9803486,5.3816504,1.75,-4.34,0.98
599680,0.2656128,8.0114565,5.312256,3.71,-4.06,1.33
599699,0.2919348,8.090423,5.125609,3.78,-3.64,1.6800001
599718,0.25604117,7.98992,5.3074703,5.04,-4.62,1.54
599737,0.3230426,8.0114565,5.510867,7.63,-5.39,1.19
599756,0.40440148,8.085636,5.5946193,8.4,-6.09,0.84000003
599775,0.33740005,8.150245,5.340971,7.56,-6.23,0.7
599794,0.33022133,8.076065,5.2476473,6.09,-6.79,0.7
599813,0.36850783,8.066493,5.283541,6.16,-6.37,0.49
599833,0.22014755,8.083243,5.317042,6.37,-6.37,0.14
599852,0.11485959,8.140674,5.2715764,5.46,-7.35,-0.28
599871,0.4091873,8.164602,5.472581,4.9,-7.56,-0.98
599890,0.46422416,8.336892,5.3457565,5.53,-6.51,-1.26
599910,0.24886245,8.171782,5.2213254,3.78,-6.44,-1.47
599929,0.18664683,8.049743,5.312256,2.59,-8.54,-1.75
599948,0.40679437,8.176567,5.42233,4.06,-8.12,-1.96
599967,0.34218585,8.324927,5.515653,5.67,-5.25,-1.33
599987,0.2656128,8.571397,4.9389625,2.66,-4.2,0.07
600006,0.27997026,8.04735,4.979642,-1.75,-3.85,-0.21000001
600025,0.46661708,7.78413,5.4749737,-1.6800001,-5.46,0.0
600044,0.4402951,8.341678,5.0346785,-0.21000001,-5.53,0.84000003
600063,0.25604117,8.305784,4.792995,-3.92,-2.45,1.61
600082,0.28714898,8.090423,5.355328,-2.8700001,-2.17,0.56
600101,0.2656128,8.396714,5.518046,0.91,-2.59,0.42000002
600120,0.21296883,8.205282,5.185432,-0.91,-2.24,1.05
600140,0.15075321,8.052135,5.106466,-1.96,-0.91,1.61
600159,0.15314612,7.9300976,5.1399665,-1.61,-0.28,1.19
600178,0.2680057,7.867882,5.283541,-0.49,-0.84000003,0.84000003
600197,0.2991135,8.0306,5.1710744,0.84000003,-0.14,0.98
600216,0.40440148,8.174174,5.1016803,-0.21000001,0.98,1.47
600235,0.43072346,8.320142,5.1662884,-1.75,1.6800001,2.17
600254,0.36850783,8.286641,5.312256,-3.15,3.78,2.24
600273,0.25364825,8.224425,5.4893312,-3.64,3.5,1.89
600293,0.25604117,8.157424,5.503689,-3.01,2.38,1.12
600312,0.17228939,8.085636,5.15911,-4.34,2.24,1.4
600331,0.1459674,8.049743,4.9772487,-4.41,1.75,1.96
600350,0.27518442,7.836774,4.9269977,-5.18,0.49,1.96
600370,0.33022133,7.9564195,5.2955055,-1.12,-0.21000001,1.12
600389,0.42833054,8.068886,5.616155,1.6800001,-2.31,0.14
