timestamp,sample
367012,-131
367020,-129
367028,-133
367036,-148
367044,-171
367052,-192
367060,-202
367068,-210
367076,-217
367084,-211
367092,-198
367100,-191
367108,-191
367116,-193
367124,-187
367132,-178
367140,-175
367148,-175
367156,-179
367164,-183
367172,-187
367180,-194
367188,-199
367196,-195
367204,-194
367212,-201
367220,-204
367228,-196
367236,-186
367244,-182
367252,-183
367260,-187
367268,-189
367276,-182
367284,-167
367292,-155
367300,-166
367308,-186
367316,-198
367324,-189
367332,-178
367340,-174
367348,-167
367356,-182
367364,-275
367372,-344
367380,-115
367388,444
367396,832
367404,593
367412,-138
367420,-726
367428,-819
367436,-610
367444,-451
367452,-419
367460,-407
367468,-365
367476,-311
367484,-275
367492,-293
367500,-352
367508,-386
367516,-366
367524,-317
367532,-277
367540,-258
367548,-244
367556,-222
367564,-191
367572,-165
367580,-151
367588,-148
367596,-153
367604,-186
367612,-234
367620,-270
367628,-265
367636,-242
367644,-228
367652,-227
367660,-245
367668,-283
367676,-342
367684,-410
367692,-455
367700,-477
367708,-489
367716,-493
367724,-482
367732,-452
367740,-415
367748,-386
367756,-384
367764,-400
367772,-420
367780,-407
367788,-380
367796,-383
367804,-417
367812,-434
367820,-412
367828,-365
367836,-333
367844,-318
367852,-323
367860,-344
367868,-377
367876,-406
367884,-422
367892,-424
367900,-425
367908,-425
367916,-425
367924,-417
367932,-407
367940,-404
367948,-412
367956,-426
367964,-437
367972,-440
367980,-436
367988,-429
367996,-426
368004,-432
368012,-439
368020,-438
368028,-443
368036,-448
368044,-449
368052,-439
368060,-428
368068,-432
368076,-453
368084,-473
368092,-478
368100,-478
368108,-474
368116,-478
368124,-483
368132,-482
368140,-481
368148,-476
368156,-458
368164,-433
368172,-407
368180,-404
368188,-406
368196,-402
368204,-389
368212,-367
368220,-348
368228,-341
368236,-348
368244,-363
368252,-368
368260,-358
368268,-349
368276,-333
368284,-306
368292,-305
368300,-389
368308,-452
368316,-190
368324,427
368332,864
368340,607
368348,-161
368356,-758
368364,-805
368372,-541
368380,-357
368388,-336
368396,-336
368404,-295
368412,-209
368420,-99
368428,-24
368436,0
368444,20
368452,69
368460,137
368468,197
368476,243
368484,272
368492,290
368500,306
368508,328
368516,356
368524,393
368532,434
368540,476
368548,504
368556,512
368564,515
368572,515
368580,506
368588,496
368596,482
368604,462
368612,421
368620,370
368628,335
368636,320
368644,322
368652,325
368660,327
368668,342
368676,375
368684,396
368692,381
368700,349
368708,339
368716,364
368724,378
368732,347
368740,291
368748,234
368756,207
368764,209
368772,237
368780,276
368788,297
368796,300
368804,296
368812,302
368820,300
368828,293
368836,294
368844,314
368852,340
368860,343
368868,318
368876,291
368884,282
368892,296
368900,313
368908,327
368916,330
368924,330
368932,325
368940,312
368948,298
368956,286
368964,273
368972,261
368980,242
368988,218
368996,202
369004,193
369012,186
369020,173
369028,158
369036,152
369044,152
369052,148
369060,144
369068,144
369076,143
369084,139
369092,134
369100,137
369108,136
369116,133
369124,122
369132,123
369140,133
369148,150
369156,154
369164,138
369172,111
369180,88
369188,72
369196,62
369204,42
369212,33
369220,38
369228,-6
369236,-134
369244,-190
369252,121
369260,717
369268,1028
369276,651
369284,-136
369292,-675
369300,-688
369308,-454
369316,-307
369324,-289
369332,-274
369340,-234
369348,-175
369356,-126
369364,-139
369372,-195
369380,-231
369388,-210
369396,-151
369404,-100
369412,-77
369420,-75
369428,-70
369436,-55
369444,-28
369452,-3
369460,28
369468,59
369476,66
369484,41
369492,5
369500,-16
369508,-16
369516,-14
369524,-12
369532,-22
369540,-52
369548,-101
369556,-159
369564,-203
369572,-219
369580,-214
369588,-202
369596,-184
369604,-163
369612,-136
369620,-115
369628,-100
369636,-116
369644,-134
369652,-144
369660,-131
369668,-128
369676,-156
369684,-191
369692,-192
369700,-158
369708,-108
369716,-65
369724,-44
369732,-49
369740,-72
369748,-104
369756,-130
369764,-152
369772,-165
369780,-169
369788,-161
369796,-146
369804,-125
369812,-109
369820,-114
369828,-128
369836,-135
369844,-127
369852,-123
369860,-131
369868,-153
369876,-177
369884,-195
369892,-209
369900,-220
369908,-221
369916,-219
369924,-208
369932,-205
369940,-205
369948,-205
369956,-209
369964,-217
369972,-224
369980,-227
369988,-229
369996,-239
370004,-257
370012,-271
370020,-283
370028,-283
370036,-283
370044,-295
370052,-310
370060,-324
370068,-320
370076,-302
370084,-292
370092,-298
370100,-318
370108,-335
370116,-340
370124,-338
370132,-327
370140,-309
370148,-308
370156,-385
370164,-507
370172,-399
370180,99
370188,623
370196,592
370204,-57
370212,-772
370220,-1020
370228,-862
370236,-660
370244,-601
370252,-601
370260,-583
370268,-541
370276,-472
370284,-424
370292,-436
370300,-473
370308,-489
370316,-464
370324,-415
370332,-370
370340,-348
370348,-341
370356,-343
370364,-335
370372,-325
370380,-321
370388,-319
370396,-307
370404,-297
370412,-303
370420,-312
370428,-314
370436,-308
370444,-306
370452,-322
370460,-351
370468,-396
