timestamp,x,y,z,gx,gy,gz
366993,-0.28714898,-0.8614469,9.877925,1.54,-3.22,0.14
367012,-0.35415038,-0.9164838,9.904246,1.75,-3.29,0.14
367031,-0.31107804,-0.9571632,9.877925,1.75,-3.43,0.28
367050,-0.3254355,-0.9093051,9.856388,1.6800001,-3.5,0.14
367070,-0.28236315,-0.89734054,9.815709,1.54,-3.3600001,0.07
367089,-0.34697166,-0.911698,9.846817,1.82,-3.29,0.14
367108,-0.28714898,-0.8997334,9.868353,1.61,-3.43,0.07
367127,-0.37090075,-0.9667349,9.842031,1.4,-3.43,0.14
367147,-0.2919348,-0.9212696,9.820495,1.82,-3.29,0.14
367166,-0.3326142,-0.87819725,9.875532,1.75,-3.22,0.14
367185,-0.33022133,-0.8566611,9.868353,1.4,-3.22,0.14
367204,-0.31825677,-0.885376,9.827674,1.19,-3.5,0.21000001
367224,-0.2919348,-0.93323416,9.858782,1.33,-3.29,0.21000001
367243,-0.28954187,-0.8901618,9.880318,1.75,-3.22,0.07
367262,-0.30389932,-0.87580436,9.80853,1.19,-3.01,0.14
367281,-0.2967206,-0.8877689,9.918604,0.84000003,-2.8700001,0.07
367300,-0.3278284,-0.87580436,9.846817,0.91,-2.8,0.07
367319,-0.28954187,-0.8901618,9.906639,1.19,-3.3600001,0.0
367338,-0.33979294,-0.8901618,9.920997,1.6800001,-2.94,0.21000001
367357,-0.3613291,-0.86623275,9.801352,-0.56,-2.8,0.0
367377,-0.33500713,-0.86862564,10.011928,2.31,-3.78,-0.21000001
367396,-0.28475606,-0.8351249,9.731957,-0.21000001,-4.2,-0.14
367415,-0.37090075,-0.83751786,9.748708,-4.97,-2.52,0.07
367434,-0.34936458,-1.0193789,9.897068,-5.25,-2.17,-0.21000001
367454,-0.34936458,-0.9164838,9.954497,-4.06,-4.9,-0.07
367473,-0.36611494,-0.9499845,9.983212,-5.46,-6.58,0.49
367492,-0.34457877,-1.0122001,9.753493,-2.38,-5.81,0.49
367511,-0.36372203,-0.9667349,9.770244,-0.28,-4.55,0.21000001
367531,-0.4115802,-0.9763065,9.901854,-1.4,-3.57,0.07
367550,-0.33500713,-1.0361292,9.935354,-1.89,-3.3600001,-0.07
367569,-0.2919348,-1.0480938,9.86596,-0.49,-4.06,0.0
367588,-0.31107804,-0.9547703,9.894675,0.07,-4.13,0.21000001
367607,-0.3230426,-0.9739136,9.813316,-1.12,-3.3600001,0.21000001
367626,-0.31825677,-1.0026284,9.844424,-1.12,-2.52,0.07
367645,-0.30629224,-0.99066395,9.885103,-0.42000002,-2.03,-0.07
367664,-0.31586388,-0.911698,9.743921,-0.84000003,-2.38,-0.14
367684,-0.3230426,-1.0289505,9.889889,0.42000002,-2.17,0.28
367703,-0.36372203,-1.0433079,9.763065,-2.31,-1.75,0.14
367722,-0.35415038,-1.0457008,9.870746,-2.8,-2.8700001,-0.14
367741,-0.3254355,-1.1079165,9.887496,-1.89,-3.92,0.0
367760,-0.28714898,-1.0839874,9.913818,1.12,-4.48,-0.07
367779,-0.32064968,-1.014593,9.885103,1.33,-4.2,0.21000001
367798,-0.3804724,-0.9858781,9.806137,-0.98,-3.43,0.07
367817,-0.36372203,-1.0911661,9.810924,-1.89,-3.08,-0.07
367837,-0.30629224,-1.1031306,9.830067,-0.56,-2.8700001,-0.07
367856,-0.3278284,-1.1150951,9.899461,0.35,-3.57,0.0
367875,-0.37090075,-1.0361292,9.880318,0.21000001,-3.78,0.07
367894,-0.34936458,-1.0361292,9.820495,-0.98,-3.43,0.07
367914,-0.33979294,-1.0624512,9.810924,-1.96,-3.22,0.14
367933,-0.33979294,-1.0911661,9.822887,-2.17,-3.3600001,0.07
367952,-0.34697166,-1.0983448,9.813316,-1.61,-3.43,0.0
367971,-0.3613291,-1.1342385,9.798959,-1.54,-3.5,0.0
367991,-0.3326142,-1.1797037,9.885103,-0.84000003,-4.2,0.0
368010,-0.37090075,-1.1773108,9.873138,0.42000002,-4.41,0.07
368029,-0.34218585,-1.1246668,9.897068,0.07,-4.06,0.21000001
368048,-0.30868515,-1.1031306,9.844424,-1.4,-3.3600001,0.14
368067,-0.2632199,-1.1653463,9.858782,-1.89,-2.8,-0.07
368086,-0.2991135,-1.1342385,9.810924,-2.17,-2.8700001,-0.07
368105,-0.31586388,-1.1749178,9.861175,-1.54,-3.01,0.07
368124,-0.37807947,-1.1868824,9.901854,-0.84000003,-3.01,0.14
368144,-0.3254355,-1.1462029,9.84921,-1.47,-2.73,0.14
368163,-0.2919348,-1.2012398,9.810924,-2.31,-2.66,0.0
368182,-0.31825677,-1.1509888,9.80853,-2.45,-2.45,-0.07
368201,-0.3852582,-1.2299547,9.777423,-2.59,-2.8,0.0
368220,-0.35415038,-1.277813,9.880318,-1.33,-3.15,0.0
368239,-0.4091873,-1.2323477,9.875532,-0.49,-3.22,0.0
368258,-0.40679437,-1.14381,9.861175,0.49,-3.57,0.07
368277,-0.37090075,-1.2443122,9.820495,-1.19,-1.6800001,0.14
368297,-0.39243692,-1.2203832,9.710421,-4.83,-1.6800001,-0.28
368316,-0.30629224,-1.3376356,9.976034,-0.21000001,-3.99,-0.28
368335,-0.37568656,-1.2825987,9.770244,-0.56,-4.83,-0.14
368354,-0.3230426,-1.2132044,9.6410265,-2.8700001,-2.94,0.28
368374,-0.3230426,-1.3759222,9.909033,-2.59,-1.33,0.21000001
368393,-0.3230426,-1.2921704,9.973641,0.84000003,-3.15,-0.14
368412,-0.3804724,-1.1773108,9.82528,-2.31,-4.9,0.28
368431,-0.39482984,-1.3711363,9.743921,-2.94,-4.83,0.42000002
368451,-0.43072346,-1.3902797,9.679314,0.28,-3.5,0.28
368470,-0.3828653,-1.3137065,9.82528,2.45,-3.01,0.28
368489,-0.41875893,-1.2873845,9.844424,1.12,-3.15,0.07
368508,-0.39482984,-1.3232782,9.844424,0.84000003,-3.08,0.14
368527,-0.3804724,-1.3089207,9.818102,2.17,-2.8700001,0.14
368546,-0.4091873,-1.2467052,9.765458,2.66,-2.8700001,0.21000001
368565,-0.45465255,-1.222776,9.798959,2.31,-2.94,0.21000001
368584,-0.39722276,-1.3065279,9.815709,2.24,-3.08,0.14
368604,-0.42115182,-1.3065279,9.739136,1.19,-3.92,-0.07
368623,-0.3828653,-1.1390243,9.686492,3.15,-2.59,0.21000001
