timestamp,sample
559426,264
559434,1395
559442,1974
559450,1157
559458,-433
559466,-1418
559474,-1302
559482,-754
559490,-461
559498,-401
559506,-303
559514,-196
559522,-146
559530,-104
559538,-60
559546,-32
559554,-25
559562,-33
559570,-32
559578,-6
559586,20
559594,23
559602,16
559610,13
559618,16
559626,5
559634,-20
559642,-34
559650,-23
559658,-8
559666,-15
559674,-54
559682,-108
559690,-158
559698,-185
559706,-190
559714,-168
559722,-127
559730,-88
559738,-63
559746,-55
559754,-54
559762,-49
559770,-46
559778,-40
559786,-33
559794,-22
559802,-20
559810,-37
559818,-52
559826,-43
559834,-20
559842,-8
559850,-36
559858,-86
559866,-109
559874,-106
559882,-104
559890,-75
559898,-10
559906,-24
559914,-217
559922,-247
559930,466
559938,1575
559946,1875
559954,810
559962,-724
559970,-1434
559978,-1147
559986,-640
559994,-441
560002,-378
560010,-261
560018,-188
560026,-171
560034,-131
560042,-79
560050,-44
560058,-29
560066,-17
560074,8
560082,22
560090,12
560098,-11
560106,-23
560114,-19
560122,-2
560130,6
560138,4
560146,-11
560154,-19
560162,-21
560170,-26
560178,-47
560186,-101
560194,-157
560202,-185
560210,-179
560218,-149
560226,-119
560234,-102
560242,-86
560250,-69
560258,-52
560266,-46
560274,-42
560282,-31
560290,-26
560298,-31
560306,-48
560314,-63
560322,-63
560330,-55
560338,-41
560346,-33
560354,-49
560362,-79
560370,-87
560378,-77
560386,-88
560394,-98
560402,-57
560410,-24
560418,-153
560426,-313
560434,128
560442,1231
560450,1946
560458,1312
560466,-241
560474,-1342
560482,-1341
560490,-800
560498,-460
560506,-390
560514,-307
560522,-210
560530,-162
560538,-104
560546,-64
560554,-48
560562,-50
560570,-49
560578,-35
560586,-13
560594,1
560602,-3
560610,-17
560618,-23
560626,-12
560634,1
560642,1
560650,-10
560658,-15
560666,-7
560674,-6
560682,-40
560690,-99
560698,-155
560706,-175
560714,-160
560722,-138
560730,-128
560738,-110
560746,-88
560754,-66
560762,-51
560770,-46
560778,-48
560786,-47
560794,-40
560802,-38
560810,-37
560818,-36
560826,-41
560834,-46
560842,-43
560850,-48
560858,-58
560866,-74
560874,-95
560882,-90
560890,-77
560898,-76
560906,-36
560914,17
560922,-62
560930,-279
560938,-97
560946,902
560954,1944
560962,1774
560970,288
560978,-1205
560986,-1557
560994,-1021
561002,-526
561010,-405
561018,-358
561026,-238
561034,-155
561042,-107
561050,-78
561058,-61
561066,-42
561074,-38
561082,-47
561090,-47
561098,-35
561106,-24
561114,-28
561122,-30
561130,-26
561138,-16
561146,-14
561154,-9
561162,-10
561170,-19
561178,-37
561186,-70
561194,-114
561202,-151
561210,-172
561218,-165
561226,-150
561234,-137
561242,-125
561250,-106
561258,-84
561266,-63
561274,-53
561282,-53
561290,-64
561298,-68
561306,-63
561314,-48
561322,-46
561330,-56
561338,-61
561346,-53
561354,-33
561362,-37
561370,-69
561378,-98
561386,-100
561394,-93
561402,-99
561410,-71
561418,-9
561426,-39
561434,-251
561442,-271
561450,492
561458,1657
561466,1956
561474,829
561482,-770
561490,-1508
561498,-1206
561506,-673
561514,-461
561522,-407
561530,-286
561538,-192
561546,-145
561554,-87
561562,-51
561570,-35
561578,-42
561586,-45
561594,-25
561602,-1
561610,2
561618,1
561626,-2
561634,1
561642,12
561650,14
561658,7
561666,0
561674,4
561682,4
561690,-26
561698,-90
561706,-163
561714,-201
561722,-201
561730,-176
561738,-138
561746,-106
561754,-84
561762,-68
561770,-64
561778,-58
561786,-44
561794,-20
561802,-11
561810,-20
561818,-36
561826,-51
561834,-61
561842,-60
561850,-42
561858,-31
561866,-37
561874,-53
561882,-71
561890,-69
561898,-80
561906,-93
561914,-48
561922,8
561930,-71
561938,-297
561946,-176
561954,766
561962,1869
561970,1871
561978,507
561986,-1030
561994,-1529
562002,-1103
562010,-612
562018,-458
562026,-380
562034,-220
562042,-135
562050,-114
562058,-94
562066,-65
562074,-28
562082,-14
562090,-14
562098,-12
562106,-10
562114,-10
562122,-10
562130,-7
562138,7
562146,22
562154,23
562162,8
562170,-3
562178,1
562186,-1
562194,-40
562202,-103
562210,-154
562218,-162
562226,-137
562234,-117
562242,-106
562250,-96
562258,-79
562266,-64
562274,-60
562282,-56
562290,-45
562298,-41
562306,-44
562314,-49
562322,-47
562330,-50
562338,-63
562346,-84
562354,-95
562362,-82
562370,-58
562378,-50
562386,-58
562394,-80
562402,-94
562410,-93
562418,-110
562426,-109
562434,-58
562442,-37
562450,-193
562458,-355
562466,121
562474,1331
562482,2164
562490,1520
562498,-202
562506,-1501
562514,-1573
562522,-977
562530,-571
562538,-483
562546,-388
562554,-255
562562,-184
562570,-126
562578,-81
562586,-54
562594,-40
562602,-37
562610,-33
562618,-17
562626,-2
562634,5
562642,3
562650,-6
562658,-8
562666,-12
562674,-14
562682,-14
562690,0
562698,14
562706,8
562714,-27
562722,-75
562730,-110
562738,-115
562746,-111
562754,-111
562762,-104
562770,-89
562778,-73
562786,-64
562794,-64
562802,-62
562810,-54
562818,-44
562826,-41
562834,-41
562842,-40
562850,-42
562858,-45
562866,-51
562874,-53
562882,-48
562890,-48
562898,-57
562906,-72
562914,-85
562922,-81
562930,-81
562938,-90
562946,-68
562954,-33
562962,-102
562970,-291
562978,-117
562986,809
562994,1793
563002,1676
563010,332
563018,-1055
563026,-1427
563034,-983
563042,-550
563050,-442
563058,-396
563066,-276
563074,-184
563082,-113
563090,-64
563098,-49
563106,-27
563114,-7
563122,-7
563130,-27
563138,-38
563146,-22
563154,5
563162,17
563170,12
563178,-2
563186,-13
563194,-26
563202,-20
563210,14
563218,44
563226,18
563234,-62
563242,-140
563250,-185
563258,-195
563266,-177
563274,-129
563282,-82
563290,-82
563298,-100
563306,-64
563314,-6
563322,-13
563330,-91
563338,-127
563346,-71
563354,-8
563362,-9
563370,-55
563378,-62
563386,-45
563394,-53
563402,-78
563410,-86
563418,-68
563426,-77
563434,-106
563442,-129
563450,-106
563458,-26
563466,53
563474,-9
563482,-238
563490,-210
563498,583
563506,1652
563514,1813
563522,661
563530,-823
563538,-1428
563546,-1087
563554,-587
563562,-401
563570,-345
563578,-236
563586,-151
563594,-101
563602,-51
563610,-32
563618,-47
563626,-74
563634,-64
563642,-1
563650,56
563658,53
563666,22
563674,10
563682,9
563690,-1
563698,-26
563706,-39
563714,-30
563722,-20
563730,-15
563738,-37
563746,-92
563754,-152
563762,-189
563770,-181
563778,-146
563786,-112
563794,-89
563802,-71
563810,-62
563818,-60
563826,-54
563834,-43
563842,-33
563850,-34
563858,-57
563866,-82
563874,-97
563882,-102
563890,-112
563898,-110
563906,-91
563914,-69
563922,-55
563930,-50
563938,-41
563946,-29
563954,-60
563962,-74
563970,-22
563978,10
563986,-145
563994,-349
564002,27
564010,1127
564018,1928
564026,1384
564034,-180
564042,-1367
564050,-1411
564058,-833
564066,-438
564074,-363
564082,-304
564090,-221
564098,-172
564106,-120
564114,-71
564122,-56
564130,-54
564138,-45
564146,-35
564154,-30
564162,-20
564170,-1
564178,17
564186,9
564194,-7
564202,-13
564210,-7
564218,0
564226,8
564234,9
564242,-9
564250,-57
564258,-114
564266,-155
564274,-166
564282,-159
564290,-142
564298,-129
564306,-111
564314,-91
564322,-80
564330,-63
564338,-37
564346,-18
564354,-29
564362,-55
564370,-73
564378,-76
564386,-81
564394,-86
564402,-76
564410,-53
564418,-49
564426,-63
564434,-82
564442,-77
564450,-81
564458,-89
564466,-62
564474,-11
564482,-59
564490,-268
564498,-200
564506,613
564514,1628
564522,1692
564530,506
564538,-899
564546,-1388
564554,-1012
564562,-555
564570,-418
564578,-365
564586,-241
564594,-156
564602,-118
564610,-86
564618,-66
564626,-45
564634,-40
564642,-45
564650,-33
564658,-12
564666,8
564674,8
564682,-6
564690,-3
564698,19
564706,34
564714,28
564722,8
564730,-4
564738,-15
564746,-35
564754,-69
564762,-111
564770,-148
564778,-169
564786,-156
564794,-119
564802,-86
564810,-80
564818,-87
564826,-81
564834,-63
564842,-54
564850,-50
564858,-44
564866,-39
564874,-44
564882,-50
564890,-55
564898,-62
564906,-79
564914,-95
564922,-101
564930,-88
564938,-74
564946,-92
564954,-86
564962,-28
564970,-23
564978,-200
564986,-299
564994,290
565002,1433
565010,1988
565018,1158
565026,-414
565034,-1369
565042,-1249
565050,-726
565058,-455
565066,-405
565074,-312
565082,-225
565090,-189
565098,-154
565106,-112
565114,-72
565122,-49
565130,-34
565138,-20
565146,-15
565154,-22
565162,-33
565170,-29
565178,-8
565186,15
565194,17
565202,5
565210,-11
565218,-28
565226,-32
565234,-40
565242,-77
565250,-140
565258,-197
565266,-207
565274,-171
565282,-127
565290,-102
565298,-88
565306,-75
565314,-55
565322,-34
565330,-28
565338,-26
565346,-17
565354,-3
565362,1
565370,-22
565378,-51
565386,-52
565394,-34
565402,-28
565410,-54
565418,-81
565426,-78
565434,-85
565442,-89
565450,-51
565458,-34
565466,-167
565474,-333
565482,20
565490,1107
565498,2004
565506,1605
565514,82
565522,-1232
565530,-1446
565538,-942
565546,-522
565554,-414
565562,-341
565570,-230
565578,-173
565586,-132
565594,-90
565602,-64
565610,-47
565618,-43
565626,-37
565634,-32
565642,-29
565650,-14
565658,13
565666,29
565674,31
565682,14
565690,6
565698,20
565706,26
565714,10
565722,-20
565730,-65
565738,-116
565746,-153
565754,-168
565762,-163
565770,-142
565778,-113
565786,-85
565794,-63
565802,-59
565810,-63
565818,-53
565826,-33
565834,-19
565842,-16
565850,-21
565858,-33
565866,-48
565874,-61
565882,-54
565890,-33
565898,-16
565906,-22
565914,-52
565922,-88
565930,-114
565938,-73
565946,10
565954,-20
565962,-246
565970,-294
