average,rrData
119.4,504
119.3,504
119.200005,504
118.6,512
118.700005,504
118.200005,512
117.9,512
117.1,520
117.700005,504
118.1,504
119.6,488
120.6,488
120.700005,496
120.8,496
121.5,488
120.200005,512
119.3,512
119.3,552
119.3,632
119.3,664
119.3,704
119.3,728
119.3,680
119.3,648
119.3,696
119.3,720
119.3,768
119.3,736
119.3,704
119.3,696
119.3,664
119.3,624
119.3,616
117.700005,592
115.700005,576
113.6,552
112.6,544
112.9,528
113.700005,520
115.3,504
117.0,496
118.200005,496
119.6,488
120.6,488
121.3,488
121.8,488
122.8,480
122.9,488
122.9,488
122.9,488
122.9,488
122.9,488
122.9,488
122.9,488
123.5,480
124.0,480
123.700005,488
124.1,480
123.8,488
123.6,488
122.8,496
122.3,496
121.3,504
120.6,504
118.5,528
117.6,552
115.8,584
113.700005,552
111.700005,560
109.9,568
108.200005,576
108.4,552
108.0,560
107.700005,560
108.5,544
109.5,536
111.3,520
113.1,512
114.3,512
115.200005,512
115.8,512
116.200005,512
116.0,520
114.8,536
114.1,560
113.6,616
111.9,616
109.8,616
107.5,624
104.5,616
104.4,576
103.5,592
104.1,568
105.5,552
105.9,536
107.0,520
109.0,528
110.9,520
111.700005,528
111.8,536
111.8,536
110.9,552
110.200005,584
109.700005,632
108.1,632
105.700005,600
104.1,640
101.0,640
