timestamp,x,y,z
559340,0.234505,9.423272,1.3591717
559359,0.27039862,9.2988405,1.4716384
559378,0.30629224,9.535739,1.3615648
559397,0.3326142,9.43763,1.0744157
559417,0.52165395,9.138516,1.5960697
559436,0.5360114,9.578811,1.3400285
559455,0.56711924,9.66017,1.1581675
559474,0.42354473,9.4998455,1.2275618
559494,0.40679437,9.291662,1.6702498
559513,0.36372203,9.643419,1.3256711
559532,0.23211208,9.609919,0.8518753
559551,0.15793194,9.406522,0.6795859
559571,0.043072347,9.277305,0.66044265
559590,-0.22254045,9.260554,0.69155043
559609,-0.46422416,9.451987,0.598227
559628,-0.5910483,9.478309,0.7394086
559647,-0.8255533,9.576418,0.7609448
559666,-0.8638398,9.636241,0.45943835
559685,-0.7346228,9.751101,0.09332342
559704,-0.7059079,9.60274,0.20100428
559724,-0.78248096,9.631455,0.13400285
559743,-0.75376606,9.559668,0.05025107
559762,-0.7681235,9.507024,-0.09810923
559781,-0.80162424,9.662563,-0.234505
559800,-0.93323416,9.763065,-0.37329367
559819,-1.1270597,9.830067,-0.33740005
559838,-1.2490981,9.94014,-0.25604117
559857,-1.277813,9.806137,-0.2584341
559877,-1.4477094,9.782208,-0.27518442
559896,-1.6487137,9.913818,-0.81119585
559915,-1.5649619,9.207911,-0.10289505
559934,-1.5769265,9.669742,-0.53840435
559954,-1.7755378,9.784601,-0.9571632
559973,-1.797074,9.52856,-0.93802
559992,-1.8210031,9.418487,-0.677193
560011,-1.8257889,9.710421,-0.66044265
560031,-1.7396442,9.624276,-0.7776951
560050,-1.7659662,9.52856,-0.97152066
560069,-1.6798215,9.461558,-1.0863802
560088,-1.715715,9.47113,-1.3711363
560107,-1.8401463,9.370628,-1.4429235
560126,-1.8784329,9.377807,-1.3232782
560145,-1.9669704,9.310805,-1.0098072
560164,-2.1249025,9.523774,-1.1629534
560184,-2.0985804,9.492666,-1.3137065
560203,-2.110545,9.332341,-1.1629534
560222,-2.165582,9.432844,-1.3424214
560241,-2.132081,9.303627,-1.3591717
560260,-2.263691,9.310805,-1.3137065
560279,-2.2852273,9.30602,-1.3615648
560298,-2.2421548,9.394557,-1.5242825
560317,-2.2589052,9.341913,-1.5912839
560337,-2.2732627,9.341913,-1.4812101
560356,-2.2852273,9.332341,-1.4716384
560375,-2.2038684,9.353878,-1.4477094
560394,-2.2517266,9.576418,-1.8281817
560414,-2.2014754,9.315591,-1.5793194
560433,-2.0507221,9.19116,-1.40703
560452,-2.187118,9.588383,-1.7946811
560471,-2.2732627,9.33952,-1.7109293
560491,-2.134474,9.081086,-1.4644598
560510,-2.1584032,9.303627,-1.2299547
560529,-2.1966896,9.47113,-1.5984626
560548,-2.21344,9.401736,-1.7779307
560567,-2.2014754,9.365842,-1.7851094
560586,-2.0722585,9.370628,-1.7013576
560605,-2.0674727,9.334735,-1.61282
560624,-2.0674727,9.258162,-1.5769265
560644,-2.08183,9.337128,-1.7013576
560663,-2.0626867,9.368236,-1.8401463
560682,-1.9956853,9.463951,-1.8018597
560701,-1.9047549,9.303627,-1.691786
560720,-2.0387578,9.432844,-1.6176059
560739,-1.9717562,9.43045,-1.7061435
560758,-1.9310769,9.351485,-1.718108
560777,-1.899969,9.30602,-1.6750357
560797,-1.8210031,9.310805,-1.7898953
560816,-1.7659662,9.217482,-1.823396
560835,-1.6295704,9.179195,-1.8425392
560854,-1.5984626,9.243804,-2.057901
560874,-1.430959,9.109801,-1.8545038
560893,-1.2825987,9.2988405,-1.9502201
560912,-1.1462029,9.43045,-2.8212388
560931,-1.1653463,8.624041,-1.9430413
560951,-1.1892753,9.408915,-2.1966896
560970,-1.5673548,9.684099,-2.2995846
560989,-1.5912839,9.511809,-2.1895108
561008,-1.3926725,9.313198,-1.4644598
561027,-1.3065279,9.765458,-1.7659662
561046,-1.1988469,9.581204,-2.0028641
561065,-1.2036327,9.648206,-2.1703677
561084,-1.0983448,9.487881,-2.112938
561104,-1.093559,9.497452,-2.0363648
561123,-0.9954498,9.514202,-1.9310769
561142,-1.0839874,9.56924,-2.0267932
561161,-0.9763065,9.480701,-1.87604
561180,-0.94280577,9.56924,-1.8305746
561199,-0.7489802,9.511809,-1.7731448
561218,-0.63412064,9.52856,-1.562569
561237,-0.49054617,9.777423,-1.9908996
561257,-0.46661708,9.645813,-2.000471
561276,-0.48097453,9.607526,-1.8425392
561295,-0.50968945,9.672134,-1.8018597
561314,-0.43790218,9.566847,-1.8329676
561333,-0.4139731,9.60274,-1.8114314
561352,-0.33979294,9.624276,-1.7276796
561371,-0.2943277,9.578811,-1.5841051
561390,-0.19621846,9.6003475,-1.3902797
561410,-0.25125536,9.887496,-1.7946811
561429,-0.028714897,9.363449,-1.1605604
561448,0.0071787243,9.440022,-1.0744157
561467,0.0,9.822887,-1.4740313
561487,0.052643977,9.511809,-1.222776
561506,0.17228939,9.377807,-0.75615895
561525,0.24168372,9.679314,-0.80880296
561544,0.23211208,9.624276,-0.8925547
561564,0.1172525,9.56206,-0.9667349
561583,0.1172525,9.497452,-0.7705164
561602,0.17228939,9.456773,-0.7346228
561621,0.16750357,9.4495945,-0.67240715
561640,0.16271774,9.440022,-0.6460852
561659,0.23211208,9.358664,-0.70830077
561678,0.23211208,9.526167,-1.093559
561697,0.27997026,9.411307,-0.78487384
561717,0.33979294,9.392164,-0.60540575
561736,0.31586388,9.478309,-0.39722276
561755,0.33500713,9.404129,-0.15553902
561774,0.30150643,9.566847,-0.34697166
561793,0.22014755,9.554882,-0.31347096
561812,0.24407662,9.566847,-0.416366
561831,0.19621846,9.605133,-0.39722276
561850,0.22971918,9.619491,-0.43311638
561870,0.17946811,9.70085,-0.5336185
561889,0.31586388,9.751101,-0.5623334
561908,0.36611494,10.229682,-0.89734054
561927,0.5264398,10.313434,-0.25125536
561947,0.68915755,10.2847185,0.43550926
561966,0.3804724,10.732193,0.40200856
561985,0.4402951,10.471366,0.2656128
562004,0.51208234,10.081322,0.4402951
562024,0.4498667,10.002356,0.5264398
562043,0.416366,10.141145,0.17468229
562062,0.22971918,10.040643,-0.011964541
562081,0.5144752,9.621883,0.14357449
562100,0.22014755,9.801352,0.37090075
562119,0.3613291,9.30602,0.7154795
562138,0.22254045,9.502238,0.68915755
562157,0.15075321,9.674527,0.5240469
562177,0.20339718,9.578811,0.63651353
562196,0.3804724,9.432844,0.99305683
562215,0.38765112,9.329948,1.0863802
562234,0.24646953,9.26534,1.093559
562253,0.110073775,9.176803,0.7944455
562272,0.2991135,9.243804,0.8279462
562291,0.43790218,9.188767,0.8997334
562310,0.46661708,8.837009,0.98827106
562330,0.43550926,8.875296,0.9667349
562349,0.34936458,8.7053995,1.1868824
562368,0.12682413,8.545074,1.1462029
562387,-0.15793194,8.497216,1.0050215
562407,-0.31586388,8.961441,0.31107804
562426,-0.3804724,9.035621,-0.22014755
562445,-0.62454903,8.91119,0.5049036
562464,-1.2802058,9.071514,0.7441944
562484,-1.6367491,9.296448,0.28236315
562503,-1.6893932,9.655384,-0.07896597
562522,-1.9837208,9.679314,0.78487384
562541,-2.5604117,10.681942,1.0504867
562561,-2.8906329,9.94014,1.1605604
562580,-2.5053747,9.7415285,1.1103094
562599,-2.112938,9.925783,0.43311638
562618,-1.4453164,10.30147,-0.047858164
562637,-0.7657306,10.471366,0.06460852
562656,-0.80162424,10.746551,0.43550926
562675,-1.1485959,10.629298,0.9093051
562694,-1.6606783,10.270362,1.1749178
562714,-1.7061435,10.203361,1.1725249
562733,-1.5027462,9.930569,1.2371335
562752,-1.7276796,9.868353,0.7657306
562771,-1.9837208,9.552489,0.39482984
562791,-2.21344,9.440022,0.05025107
562810,-1.9717562,9.365842,0.06221561
562829,-1.5553902,9.260554,0.39004403
562848,-1.4189945,9.215089,0.54797596
562868,-1.6558924,9.105016,0.6197632
562887,-1.9310769,9.272519,0.80880296
562906,-2.1464386,9.222268,0.83991075
562925,-2.084223,9.193553,0.8710185
562944,-2.0363648,9.418487,0.7130866
562963,-2.010043,8.858545,1.3160994
562982,-2.132081,9.246197,1.4261732
563001,-2.5939124,9.535739,0.77530223
563021,-2.969599,9.368236,0.9667349
563040,-2.7398798,9.219875,1.119881
563059,-2.5867336,9.083479,1.665464
563078,-2.6465564,8.578575,1.6199988
563097,-2.0866158,8.171782,1.6008555
563116,-1.117488,9.521381,0.6389065
563135,-2.5819478,9.856388,-1.1318455
563154,-3.62047,9.851603,-1.5577831
563174,-2.7781663,10.945162,-1.3926725
563193,-1.4907818,11.679785,0.3613291
563212,-0.06460852,11.737214,2.866704
563231,0.571905,11.488352,3.6635423
563250,0.9093051,10.270362,2.3522286
563269,0.4450809,9.779816,0.51926106
563288,1.0504867,9.217482,0.63172776
563307,1.14381,9.069121,1.3902797
563327,0.9188767,9.0571575,1.8425392
563346,0.7705164,9.17441,1.8736471
563365,0.90691215,9.128944,1.4022441
563384,0.7441944,8.791544,1.2467052
563404,0.42354473,8.734115,1.2682413
563423,0.20339718,8.858545,1.5506045
563442,0.12682413,9.009299,1.639142
563461,-0.028714897,9.085872,1.4237803
563481,0.08614469,8.411072,2.1727605
563500,0.24168372,8.920761,2.759023
563519,0.033500712,9.559668,2.6154485
563538,-0.33022133,9.475916,2.7350938
563557,-0.5049036,9.179195,3.3692145
563576,-1.1318455,9.593168,2.9121692
