timestamp,x,y,z
559340,12.04,-10.6050005,2.835
559359,12.845,-11.025,2.135
559378,16.24,-12.04,1.54
559397,12.11,-12.46,1.085
559417,20.475,-16.135,-0.875
559436,25.025,-18.165,-2.695
559455,22.505,-17.885,-4.2
559474,21.525,-18.41,-6.09
559494,27.86,-20.16,-9.7300005
559513,31.78,-20.405,-14.455
559532,27.895,-20.3,-18.27
559551,26.775,-20.825,-21.035
559571,27.93,-22.82,-23.975
559590,31.01,-25.935,-26.39
559609,31.745,-29.295,-28.105
559628,31.78,-29.960001,-28.630001
559647,35.385,-34.195,-28.84
559666,36.085,-34.65,-28.14
559685,35.455,-35.0,-27.86
559704,35.035,-35.805,-26.880001
559724,33.18,-37.73,-24.955
559743,33.04,-39.55,-23.065
559762,32.13,-39.795002,-21.245
559781,30.485,-36.61,-19.285
559800,27.335001,-31.99,-17.85
559819,24.115,-28.595,-16.66
559838,22.54,-27.685,-15.225
559857,21.77,-24.99,-13.755
559877,22.68,-22.155,-12.145
559896,16.52,-17.57,-10.325
559915,17.15,-18.06,-10.36
559934,22.89,-19.005,-9.695
559954,17.85,-16.52,-8.26
559973,15.4,-13.58,-7.035
559992,20.65,-13.615,-6.825
560011,24.64,-14.56,-6.44
560031,17.885,-13.545,-6.265
560050,13.545,-11.13,-6.335
560069,12.985,-8.785,-6.3
560088,12.145,-8.61,-5.95
560107,11.06,-9.1,-5.565
560126,10.955,-9.17,-5.6
560145,11.935,-8.89,-5.7400002
560164,11.165,-8.645,-5.7400002
560184,9.135,-9.485,-5.7400002
560203,9.415,-10.43,-5.495
560222,9.24,-9.415,-4.69
560241,7.315,-9.31,-4.83
560260,7.4900002,-10.64,-5.005
560279,8.19,-11.935,-4.725
560298,8.435,-11.165,-4.445
560317,7.035,-9.17,-4.34
560337,6.79,-8.26,-4.165
560356,6.895,-7.875,-4.025
560375,6.65,-8.085,-4.585
560394,6.335,-6.16,-3.5
560414,-1.4,-5.285,-3.3600001
560433,7.21,-7.945,-3.3600001
560452,7.91,-6.965,-2.485
560471,2.065,-3.885,-1.82
560491,2.94,-2.8700001,-1.19
560510,7.7,-4.795,-0.14
560529,3.955,-5.915,1.26
560548,1.33,-3.85,2.52
560567,0.35,0.805,3.605
560586,0.77,5.11,4.48
560605,-0.07,7.07,5.075
560624,-0.98,7.385,5.46
560644,-2.1,7.63,5.915
560663,-2.17,7.315,6.02
560682,-1.19,9.31,6.86
560701,-1.365,10.29,7.175
560720,-0.735,10.045,8.05
560739,-2.45,9.17,8.435
560758,-2.73,8.68,8.295
