timestamp,x,y,z,gx,gy,gz
559340,0.234505,9.423272,1.3591717,12.04,-10.6050005,2.835
559359,0.27039862,9.2988405,1.4716384,12.845,-11.025,2.135
559378,0.30629224,9.535739,1.3615648,16.24,-12.04,1.54
559397,0.3326142,9.43763,1.0744157,12.11,-12.46,1.085
559417,0.52165395,9.138516,1.5960697,20.475,-16.135,-0.875
559436,0.5360114,9.578811,1.3400285,25.025,-18.165,-2.695
559455,0.56711924,9.66017,1.1581675,22.505,-17.885,-4.2
559474,0.42354473,9.4998455,1.2275618,21.525,-18.41,-6.09
559494,0.40679437,9.291662,1.6702498,27.86,-20.16,-9.7300005
559513,0.36372203,9.643419,1.3256711,31.78,-20.405,-14.455
559532,0.23211208,9.609919,0.8518753,27.895,-20.3,-18.27
559551,0.15793194,9.406522,0.6795859,26.775,-20.825,-21.035
559571,0.043072347,9.277305,0.66044265,27.93,-22.82,-23.975
559590,-0.22254045,9.260554,0.69155043,31.01,-25.935,-26.39
559609,-0.46422416,9.451987,0.598227,31.745,-29.295,-28.105
559628,-0.5910483,9.478309,0.7394086,31.78,-29.960001,-28.630001
559647,-0.8255533,9.576418,0.7609448,35.385,-34.195,-28.84
559666,-0.8638398,9.636241,0.45943835,36.085,-34.65,-28.14
559685,-0.7346228,9.751101,0.09332342,35.455,-35.0,-27.86
559704,-0.7059079,9.60274,0.20100428,35.035,-35.805,-26.880001
559724,-0.78248096,9.631455,0.13400285,33.18,-37.73,-24.955
559743,-0.75376606,9.559668,0.05025107,33.04,-39.55,-23.065
559762,-0.7681235,9.507024,-0.09810923,32.13,-39.795002,-21.245
559781,-0.80162424,9.662563,-0.234505,30.485,-36.61,-19.285
559800,-0.93323416,9.763065,-0.37329367,27.335001,-31.99,-17.85
559819,-1.1270597,9.830067,-0.33740005,24.115,-28.595,-16.66
559838,-1.2490981,9.94014,-0.25604117,22.54,-27.685,-15.225
559857,-1.277813,9.806137,-0.2584341,21.77,-24.99,-13.755
559877,-1.4477094,9.782208,-0.27518442,22.68,-22.155,-12.145
559896,-1.6487137,9.913818,-0.81119585,16.52,-17.57,-10.325
559915,-1.5649619,9.207911,-0.10289505,17.15,-18.06,-10.36
559934,-1.5769265,9.669742,-0.53840435,22.89,-19.005,-9.695
559954,-1.7755378,9.784601,-0.9571632,17.85,-16.52,-8.26
559973,-1.797074,9.52856,-0.93802,15.4,-13.58,-7.035
559992,-1.8210031,9.418487,-0.677193,20.65,-13.615,-6.825
560011,-1.8257889,9.710421,-0.66044265,24.64,-14.56,-6.44
560031,-1.7396442,9.624276,-0.7776951,17.885,-13.545,-6.265
560050,-1.7659662,9.52856,-0.97152066,13.545,-11.13,-6.335
560069,-1.6798215,9.461558,-1.0863802,12.985,-8.785,-6.3
560088,-1.715715,9.47113,-1.3711363,12.145,-8.61,-5.95
560107,-1.8401463,9.370628,-1.4429235,11.06,-9.1,-5.565
560126,-1.8784329,9.377807,-1.3232782,10.955,-9.17,-5.6
560145,-1.9669704,9.310805,-1.0098072,11.935,-8.89,-5.7400002
560164,-2.1249025,9.523774,-1.1629534,11.165,-8.645,-5.7400002
560184,-2.0985804,9.492666,-1.3137065,9.135,-9.485,-5.7400002
560203,-2.110545,9.332341,-1.1629534,9.415,-10.43,-5.495
560222,-2.165582,9.432844,-1.3424214,9.24,-9.415,-4.69
560241,-2.132081,9.303627,-1.3591717,7.315,-9.31,-4.83
560260,-2.263691,9.310805,-1.3137065,7.4900002,-10.64,-5.005
560279,-2.2852273,9.30602,-1.3615648,8.19,-11.935,-4.725
560298,-2.2421548,9.394557,-1.5242825,8.435,-11.165,-4.445
560317,-2.2589052,9.341913,-1.5912839,7.035,-9.17,-4.34
560337,-2.2732627,9.341913,-1.4812101,6.79,-8.26,-4.165
560356,-2.2852273,9.332341,-1.4716384,6.895,-7.875,-4.025
560375,-2.2038684,9.353878,-1.4477094,6.65,-8.085,-4.585
560394,-2.2517266,9.576418,-1.8281817,6.335,-6.16,-3.5
560414,-2.2014754,9.315591,-1.5793194,-1.4,-5.285,-3.3600001
560433,-2.0507221,9.19116,-1.40703,7.21,-7.945,-3.3600001
560452,-2.187118,9.588383,-1.7946811,7.91,-6.965,-2.485
560471,-2.2732627,9.33952,-1.7109293,2.065,-3.885,-1.82
560491,-2.134474,9.081086,-1.4644598,2.94,-2.8700001,-1.19
560510,-2.1584032,9.303627,-1.2299547,7.7,-4.795,-0.14
560529,-2.1966896,9.47113,-1.5984626,3.955,-5.915,1.26
560548,-2.21344,9.401736,-1.7779307,1.33,-3.85,2.52
560567,-2.2014754,9.365842,-1.7851094,0.35,0.805,3.605
560586,-2.0722585,9.370628,-1.7013576,0.77,5.11,4.48
560605,-2.0674727,9.334735,-1.61282,-0.07,7.07,5.075
560624,-2.0674727,9.258162,-1.5769265,-0.98,7.385,5.46
560644,-2.08183,9.337128,-1.7013576,-2.1,7.63,5.915
560663,-2.0626867,9.368236,-1.8401463,-2.17,7.315,6.02
560682,-1.9956853,9.463951,-1.8018597,-1.19,9.31,6.86
560701,-1.9047549,9.303627,-1.691786,-1.365,10.29,7.175
560720,-2.0387578,9.432844,-1.6176059,-0.735,10.045,8.05
560739,-1.9717562,9.43045,-1.7061435,-2.45,9.17,8.435
560758,-1.9310769,9.351485,-1.718108,-2.73,8.68,8.295
560777,-1.899969,9.30602,-1.6750357,-1.855,9.555,8.435
560797,-1.8210031,9.310805,-1.7898953,-0.91,11.095,8.89
560816,-1.7659662,9.217482,-1.823396,0.91,11.935,9.66
560835,-1.6295704,9.179195,-1.8425392,4.795,12.215,9.94
560854,-1.5984626,9.243804,-2.057901,6.79,14.315001,10.22
560874,-1.430959,9.109801,-1.8545038,7.91,16.695,9.87
560893,-1.2825987,9.2988405,-1.9502201,12.04,19.32,10.255
560912,-1.1462029,9.43045,-2.8212388,3.92,24.99,12.3550005
560931,-1.1653463,8.624041,-1.9430413,7.0,25.34,13.545
